User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
CloudTrail,,2021-01-25T04:33:12Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,2cce4c02-e6bd-40e4-899e-9fb2feffc33c,false,AwsConsoleSignIn,206153679569,Management
root,,2021-01-25T04:30:59Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,ca059e95-c77a-4d72-a543-044d037f8055,false,AwsConsoleSignIn,206153679569,Management
Accountant,ASIAS775XQLI7BVWHX6B,2021-01-25T04:30:00Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],907d8016-16c4-4175-9597-26297b736e4e,cfc2597b-b2e6-4810-bdd8-1681dfbbb80d,false,AwsApiCall,206153679569,Management
Accountant,,2021-01-25T04:29:44Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,faf98f9d-70fa-477b-9ca0-d50154352ba6,false,AwsConsoleSignIn,206153679569,Management
CloudTrail,ASIAS775XQLIV6QQRI62,2021-01-25T04:28:54Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],2ad21f0a-041b-40d8-9c26-55ea4123dd78,2fc3dbc5-99ca-4be5-8582-335344e4190b,false,AwsApiCall,206153679569,Management
CloudTrail,,2021-01-25T04:28:28Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,772b165a-51a9-4956-8d10-126d4291a072,false,AwsConsoleSignIn,206153679569,Management
root,ASIAS775XQLIX356SXMU,2021-01-25T04:28:11Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",cb844e23-50a8-4a94-971b-2009156d1d8d,86e3fa88-0c9f-4965-a28c-5dd4fd45e7a8,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLIX356SXMU,2021-01-25T04:27:56Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",0c39a589-1333-493d-96ce-31746dc96380,5bda157b-9506-4a6a-a362-60aecfa5c37f,false,AwsApiCall,206153679569,Management
root,ASIAS775XQLIX356SXMU,2021-01-25T04:26:50Z,iam.amazonaws.com,GenerateServiceLastAccessedDetails,us-east-1,64.189.47.148,console.amazonaws.com,,[],6127aeeb-5c8b-4970-8530-efafb21e117f,1420b6d9-22d6-4034-9e2c-302c3ca1f28d,false,AwsApiCall,206153679569,Management
root,,2021-01-25T04:26:19Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,f03fb5f1-0aad-4818-9c56-4b59ec9e860e,false,AwsConsoleSignIn,206153679569,Management
HIDDEN_DUE_TO_SECURITY_REASONS,,2021-01-25T04:25:49Z,signin.amazonaws.com,ConsoleLogin,us-east-1,64.189.47.148,"Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36",,[],,65df7e6a-fd97-41a8-9afd-da440f0537b6,false,AwsConsoleSignIn,206153679569,Management
root,ASIAS775XQLI7IR4TQJR,2021-01-25T04:24:51Z,iam.amazonaws.com,AddUserToGroup,us-east-1,64.189.47.148,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",1f07f78f-7fe3-48fb-8223-946ee6d640e4,c708d612-7f58-4e78-a6ef-a0fdd6390d80,false,AwsApiCall,206153679569,Management
